Time;f60_US_TX01;QI_US_TX01
2019-05-15 04:41:16;7.80952;0
2019-05-15 04:41:17;7.06683;0
2019-05-15 04:41:18;7.0186;0
2019-05-15 04:41:19;6.81731;0
2019-05-15 04:41:20;5.75529;0
2019-05-15 04:41:21;5.83692;0
2019-05-15 04:41:22;6.88601;0
2019-05-15 04:41:23;7.54433;0
2019-05-15 04:41:24;7.83478;0
2019-05-15 04:41:25;8.15842;0
2019-05-15 04:41:26;7.78828;0
2019-05-15 04:41:27;8.58784;0
2019-05-15 04:41:28;9.10451;0
2019-05-15 04:41:29;9.61801;0
2019-05-15 04:41:30;9.71247;0
2019-05-15 04:41:31;8.91844;0
2019-05-15 04:41:32;7.93448;0
2019-05-15 04:41:33;7.40584;0
2019-05-15 04:41:34;7.2547;0
2019-05-15 04:41:35;8.46992;0
2019-05-15 04:41:36;10.4544;0
2019-05-15 04:41:37;12.6307;0
2019-05-15 04:41:38;14.538;0
2019-05-15 04:41:39;16.4916;0
2019-05-15 04:41:40;17.3704;0
2019-05-15 04:41:41;17.0882;0
2019-05-15 04:41:42;16.294;0
2019-05-15 04:41:43;15.6879;0
2019-05-15 04:41:44;14.7539;0
2019-05-15 04:41:45;12.709;0
2019-05-15 04:41:46;10.7558;0
2019-05-15 04:41:47;8.81944;0
2019-05-15 04:41:48;7.01612;0
2019-05-15 04:41:49;5.418;0
2019-05-15 04:41:50;3.51054;0
2019-05-15 04:41:51;0.170248;0
2019-05-15 04:41:52;-4.02631;0
2019-05-15 04:41:53;-9.85087;0
2019-05-15 04:41:54;-14.9208;0
2019-05-15 04:41:55;-17.584;0
2019-05-15 04:41:56;-19.9288;0
2019-05-15 04:41:57;-20.7467;0
2019-05-15 04:41:58;-20.9362;0
2019-05-15 04:41:59;-21.1036;0
2019-05-15 04:42:00;-21.1461;0
2019-05-15 04:42:01;-21.3867;0
2019-05-15 04:42:02;-23.1068;0
2019-05-15 04:42:03;-23.2713;0
2019-05-15 04:42:04;-23.1929;0
2019-05-15 04:42:05;-23.492;0
2019-05-15 04:42:06;-24.618;0
2019-05-15 04:42:07;-25.5209;0
2019-05-15 04:42:08;-26.5832;0
2019-05-15 04:42:09;-27.079;0
2019-05-15 04:42:10;-27.8057;0
2019-05-15 04:42:11;-29.2258;0
2019-05-15 04:42:12;-28.8238;0
2019-05-15 04:42:13;-28.9269;0
2019-05-15 04:42:14;-29.0684;0
2019-05-15 04:42:15;-30.408;0
2019-05-15 04:42:16;-31.8786;0
2019-05-15 04:42:17;-31.7306;0
2019-05-15 04:42:18;-31.2252;0
2019-05-15 04:42:19;-30.8403;0
2019-05-15 04:42:20;-30.5575;0
2019-05-15 04:42:21;-29.4817;0
2019-05-15 04:42:22;-28.7938;0
2019-05-15 04:42:23;-27.7741;0
2019-05-15 04:42:24;-26.6888;0
2019-05-15 04:42:25;-25.7582;0
2019-05-15 04:42:26;-25.1055;0
2019-05-15 04:42:27;-24.1498;0
2019-05-15 04:42:28;-22.8601;0
2019-05-15 04:42:29;-21.7282;0
2019-05-15 04:42:30;-21.3917;0
2019-05-15 04:42:31;-21.8281;0
2019-05-15 04:42:32;-23.7997;0
2019-05-15 04:42:33;-26.0247;0
2019-05-15 04:42:34;-27.5369;0
2019-05-15 04:42:35;-28.0792;0
2019-05-15 04:42:36;-26.8444;0
2019-05-15 04:42:37;-25.4898;0
2019-05-15 04:42:38;-25.3421;0
2019-05-15 04:42:39;-25.2673;0
2019-05-15 04:42:40;-24.6155;0
2019-05-15 04:42:41;-23.9006;0
2019-05-15 04:42:42;-23.4874;0
2019-05-15 04:42:43;-23.3893;0
2019-05-15 04:42:44;-23.1175;0
2019-05-15 04:42:45;-22.8437;0
2019-05-15 04:42:46;-22.9362;0
2019-05-15 04:42:47;-22.8162;0
2019-05-15 04:42:48;-21.5639;0
2019-05-15 04:42:49;-21.2962;0
2019-05-15 04:42:50;-22.4168;0
2019-05-15 04:42:51;-23.2662;0
2019-05-15 04:42:52;-24.3434;0
2019-05-15 04:42:53;-24.3821;0
2019-05-15 04:42:54;-23.8767;0
2019-05-15 04:42:55;-23.2662;0
2019-05-15 04:42:56;-23.311;0
2019-05-15 04:42:57;-23.5855;0
2019-05-15 04:42:58;-24.8184;0
2019-05-15 04:42:59;-26.4472;0
2019-05-15 04:43:00;-28.0706;0
2019-05-15 04:43:01;-28.6077;0
2019-05-15 04:43:02;-27.9906;0
2019-05-15 04:43:03;-26.5698;0
2019-05-15 04:43:04;-24.4216;0
2019-05-15 04:43:05;-22.7433;0
2019-05-15 04:43:06;-21.5541;0
2019-05-15 04:43:07;-20.8798;0
2019-05-15 04:43:08;-20.5985;0
2019-05-15 04:43:09;-20.8233;0
2019-05-15 04:43:10;-20.8038;0
2019-05-15 04:43:11;-20.4913;0
2019-05-15 04:43:12;-19.9162;0
2019-05-15 04:43:13;-18.8775;0
2019-05-15 04:43:14;-17.8022;0
2019-05-15 04:43:15;-17.6866;0
2019-05-15 04:43:16;-17.9472;0
2019-05-15 04:43:17;-18.1351;0
2019-05-15 04:43:18;-19.1823;0
2019-05-15 04:43:19;-20.9097;0
2019-05-15 04:43:20;-22.5575;0
2019-05-15 04:43:21;-22.6554;0
2019-05-15 04:43:22;-22;0
2019-05-15 04:43:23;-21.2549;0
2019-05-15 04:43:24;-21.1169;0
2019-05-15 04:43:25;-20.7679;0
2019-05-15 04:43:26;-20.2987;0
2019-05-15 04:43:27;-19.7687;0
2019-05-15 04:43:28;-20.5426;0
2019-05-15 04:43:29;-21.9997;0
2019-05-15 04:43:30;-23.5454;0
2019-05-15 04:43:31;-23.9431;0
2019-05-15 04:43:32;-23.1244;0
2019-05-15 04:43:33;-21.8963;0
2019-05-15 04:43:34;-22.0878;0
2019-05-15 04:43:35;-22.7483;0
2019-05-15 04:43:36;-23.7863;0
2019-05-15 04:43:37;-24.4921;0
2019-05-15 04:43:38;-23.5761;0
2019-05-15 04:43:39;-22.9718;0
2019-05-15 04:43:40;-23.0947;0
2019-05-15 04:43:41;-23.6415;0
2019-05-15 04:43:42;-23.2325;0
2019-05-15 04:43:43;-23.5726;0
2019-05-15 04:43:44;-24.4907;0
2019-05-15 04:43:45;-25.1909;0
2019-05-15 04:43:46;-26.2301;0
2019-05-15 04:43:47;-27.5359;0
2019-05-15 04:43:48;-28.4491;0
2019-05-15 04:43:49;-28.3947;0
2019-05-15 04:43:50;-27.3967;0
2019-05-15 04:43:51;-24.8655;0
2019-05-15 04:43:52;-21.4374;0
2019-05-15 04:43:53;-18.8631;0
2019-05-15 04:43:54;-17.5142;0
2019-05-15 04:43:55;-16.6181;0
2019-05-15 04:43:56;-15.7328;0
2019-05-15 04:43:57;-14.2945;0
2019-05-15 04:43:58;-11.9694;0
2019-05-15 04:43:59;-10.2491;0
2019-05-15 04:44:00;-9.25157;0
2019-05-15 04:44:01;-8.60649;0
2019-05-15 04:44:02;-7.83027;0
2019-05-15 04:44:03;-6.88143;0
2019-05-15 04:44:04;-6.50863;0
2019-05-15 04:44:05;-5.64249;0
2019-05-15 04:44:06;-4.72624;0
2019-05-15 04:44:07;-2.33369;0
2019-05-15 04:44:08;-1.08146;0
2019-05-15 04:44:09;0.372155;0
2019-05-15 04:44:10;2.13363;0
2019-05-15 04:44:11;4.46087;0
2019-05-15 04:44:12;6.54995;0
2019-05-15 04:44:13;7.60204;0
